filename,mutation-id,checker-success,checker-info,checker-stdout,checker-stderr,asm_diff,c-0,c-1
00001.c.clean,0,True,valid,,,0,1544852487,
00001.c.clean,1,True,valid,,,0,287149561,
00001.c.clean,2,True,valid,,,0,1925259771,
00001.c.clean,3,True,valid,,,0,2007533673,
00001.c.clean,4,True,valid,,,0,1185298597,
00001.c.clean,5,True,valid,,,0,1302320114,
00001.c.clean,6,True,valid,,,0,418923198,
00001.c.clean,7,True,valid,,,0,1736139674,
00001.c.clean,8,True,valid,,,0,825223498,
00001.c.clean,9,True,valid,,,0,263125448,
00001.c.clean,10,True,valid,,,0,1425090616,
00001.c.clean,11,True,valid,,,0,2084396817,
00001.c.clean,12,True,valid,,,0,2108373269,
00001.c.clean,13,True,valid,,,0,856634193,
00001.c.clean,14,True,valid,,,0,1563981422,
00001.c.clean,15,True,valid,,,0,1151413405,
00001.c.clean,16,True,valid,,,0,1847244464,
00001.c.clean,17,True,valid,,,0,2118084233,
00001.c.clean,18,True,valid,,,0,200872429,
00001.c.clean,19,True,valid,,,0,1014094489,
00001.c.clean,20,True,valid,,,0,1138450813,
00001.c.clean,21,True,valid,,,0,870626772,
00001.c.clean,22,True,valid,,,0,165371269,
00001.c.clean,23,True,valid,,,0,1865770727,
00001.c.clean,24,True,valid,,,0,1610390712,
00001.c.clean,25,True,valid,,,0,927024540,
00001.c.clean,26,True,valid,,,0,1709541590,
00001.c.clean,27,True,valid,,,0,1909687908,
00001.c.clean,28,True,valid,,,0,689478158,
00001.c.clean,29,True,valid,,,0,1467785226,
00001.c.clean,30,True,valid,,,0,2032044,
00001.c.clean,31,True,valid,,,0,1144492589,
00002.c.clean,0,True,valid,,,0,177408930,773885983.0
00002.c.clean,1,True,valid,,,0,842805794,661925153.0
00002.c.clean,2,True,valid,,,0,619438345,144997005.0
00002.c.clean,3,True,valid,,,0,354770083,228340361.0
00002.c.clean,4,True,valid,,,0,1422798188,1919812774.0
00002.c.clean,5,True,valid,,,0,1154746677,1501903800.0
00002.c.clean,6,True,valid,,,0,1597016460,1142691478.0
00002.c.clean,7,True,valid,,,0,1691916160,307920027.0
00002.c.clean,8,True,valid,,,0,427803286,1892404990.0
00002.c.clean,9,True,valid,,,0,2102567609,721106238.0
00002.c.clean,10,True,valid,,,0,2079802641,18065926.0
00002.c.clean,11,True,valid,,,0,1548508643,2083410700.0
00002.c.clean,12,True,valid,,,0,1675747404,1250228794.0
00002.c.clean,13,True,valid,,,0,62752941,1851765400.0
00002.c.clean,14,True,valid,,,0,1588604288,1777162575.0
00002.c.clean,15,True,valid,,,0,927581058,853597837.0
00002.c.clean,16,True,valid,,,0,969339655,1560763053.0
00002.c.clean,17,True,valid,,,0,1636661594,290496452.0
00002.c.clean,18,True,valid,,,0,1649724168,1867597898.0
00002.c.clean,19,True,valid,,,0,128443138,384193798.0
00002.c.clean,20,True,valid,,,0,1885418718,328384623.0
00002.c.clean,21,True,valid,,,0,848172987,1575960630.0
00002.c.clean,22,True,valid,,,0,970614702,1895011547.0
00002.c.clean,23,True,valid,,,0,1728118633,2122115565.0
00002.c.clean,24,True,valid,,,0,654851414,429838728.0
00002.c.clean,25,True,valid,,,0,930918925,71161383.0
00002.c.clean,26,True,valid,,,0,290743483,956863745.0
00002.c.clean,27,True,valid,,,0,1027028420,2118275330.0
00002.c.clean,28,True,valid,,,0,654468548,273567082.0
00002.c.clean,29,True,valid,,,0,1753955537,2142691770.0
00002.c.clean,30,True,valid,,,0,1429916414,1171072204.0
00002.c.clean,31,True,valid,,,0,794656517,2062410643.0
