seed,mutation-id,compiler-1,compiler-2,attempts,assembly-diff
00077.c.clean,1,gcc-12,gcc-11,1,0
00078.c.clean,0,gcc-12,gcc-11,1,0
00078.c.clean,1,gcc-12,gcc-11,1,0
00080.c.clean,0,gcc-12,gcc-11,1,0
00080.c.clean,1,gcc-12,gcc-11,1,0
00081.c.clean,0,gcc-12,gcc-11,1,0
00081.c.clean,1,gcc-12,gcc-11,1,0
00082.c.clean,0,gcc-12,gcc-11,1,0
00082.c.clean,1,gcc-12,gcc-11,1,0
00086.c.clean,0,gcc-12,gcc-11,1,0
00086.c.clean,1,gcc-12,gcc-11,1,0
00087.c.clean,0,gcc-12,gcc-11,1,0
00087.c.clean,1,gcc-12,gcc-11,1,0
00088.c.clean,0,gcc-12,gcc-11,1,0
00088.c.clean,1,gcc-12,gcc-11,1,0
00089.c.clean,0,gcc-12,gcc-11,1,0
00089.c.clean,1,gcc-12,gcc-11,1,0
00090.c.clean,0,gcc-12,gcc-11,5,-1
00090.c.clean,1,gcc-12,gcc-11,1,0
00091.c.clean,0,gcc-12,gcc-11,1,0
00091.c.clean,1,gcc-12,gcc-11,1,0
00092.c.clean,0,gcc-12,gcc-11,1,0
00092.c.clean,1,gcc-12,gcc-11,1,0
00093.c.clean,0,gcc-12,gcc-11,1,0
00093.c.clean,1,gcc-12,gcc-11,1,0
00094.c.clean,0,gcc-12,gcc-11,1,0
00094.c.clean,1,gcc-12,gcc-11,1,0
00095.c.clean,0,gcc-12,gcc-11,1,0
00095.c.clean,1,gcc-12,gcc-11,1,0
00096.c.clean,0,gcc-12,gcc-11,1,0
00096.c.clean,1,gcc-12,gcc-11,1,0
00098.c.clean,0,gcc-12,gcc-11,1,0
00098.c.clean,1,gcc-12,gcc-11,1,0
00099.c.clean,0,gcc-12,gcc-11,1,0
00099.c.clean,1,gcc-12,gcc-11,1,0
00100.c.clean,0,gcc-12,gcc-11,1,0
00100.c.clean,1,gcc-12,gcc-11,1,0
00101.c.clean,0,gcc-12,gcc-11,5,-1
00101.c.clean,1,gcc-12,gcc-11,5,-1
00102.c.clean,0,gcc-12,gcc-11,1,0
00102.c.clean,1,gcc-12,gcc-11,1,0
00103.c.clean,0,gcc-12,gcc-11,1,0
00103.c.clean,1,gcc-12,gcc-11,1,0
00105.c.clean,0,gcc-12,gcc-11,1,0
00105.c.clean,1,gcc-12,gcc-11,1,0
00106.c.clean,0,gcc-12,gcc-11,1,0
00106.c.clean,1,gcc-12,gcc-11,1,0
00107.c.clean,0,gcc-12,gcc-11,1,0
00107.c.clean,1,gcc-12,gcc-11,1,0
00109.c.clean,0,gcc-12,gcc-11,1,0
00109.c.clean,1,gcc-12,gcc-11,1,0
00110.c.clean,0,gcc-12,gcc-11,1,0
00110.c.clean,1,gcc-12,gcc-11,1,0
00111.c.clean,0,gcc-12,gcc-11,1,0
00111.c.clean,1,gcc-12,gcc-11,1,0
00112.c.clean,0,gcc-12,gcc-11,1,0
00112.c.clean,1,gcc-12,gcc-11,1,0
00113.c.clean,0,gcc-12,gcc-11,1,0
00113.c.clean,1,gcc-12,gcc-11,1,0
00114.c.clean,0,gcc-12,gcc-11,1,0
00114.c.clean,1,gcc-12,gcc-11,1,0
00116.c.clean,0,gcc-12,gcc-11,1,0
00116.c.clean,1,gcc-12,gcc-11,1,0
00117.c.clean,0,gcc-12,gcc-11,3,0
00117.c.clean,1,gcc-12,gcc-11,2,0
00118.c.clean,0,gcc-12,gcc-11,1,0
00118.c.clean,1,gcc-12,gcc-11,1,0
00119.c.clean,0,gcc-12,gcc-11,1,0
00119.c.clean,1,gcc-12,gcc-11,1,0
00120.c.clean,0,gcc-12,gcc-11,1,0
00120.c.clean,1,gcc-12,gcc-11,1,0
00121.c.clean,0,gcc-12,gcc-11,1,0
00121.c.clean,1,gcc-12,gcc-11,1,0
00123.c.clean,0,gcc-12,gcc-11,1,0
00123.c.clean,1,gcc-12,gcc-11,1,0
00124.c.clean,0,gcc-12,gcc-11,1,0
00124.c.clean,1,gcc-12,gcc-11,1,0
00126.c.clean,0,gcc-12,gcc-11,1,0
00126.c.clean,1,gcc-12,gcc-11,1,0
00127.c.clean,0,gcc-12,gcc-11,1,0
00127.c.clean,1,gcc-12,gcc-11,1,0
00128.c.clean,0,gcc-12,gcc-11,1,0
00128.c.clean,1,gcc-12,gcc-11,1,0
00130.c.clean,0,gcc-12,gcc-11,5,-1
00130.c.clean,1,gcc-12,gcc-11,5,-1
00133.c.clean,0,gcc-12,gcc-11,1,0
00133.c.clean,1,gcc-12,gcc-11,1,0
00134.c.clean,0,gcc-12,gcc-11,3,0
00134.c.clean,1,gcc-12,gcc-11,5,-1
00135.c.clean,0,gcc-12,gcc-11,1,0
00135.c.clean,1,gcc-12,gcc-11,1,0
00140.c.clean,0,gcc-12,gcc-11,1,16
00140.c.clean,1,gcc-12,gcc-11,1,16
00144.c.clean,0,gcc-12,gcc-11,1,0
00144.c.clean,1,gcc-12,gcc-11,1,0
00146.c.clean,0,gcc-12,gcc-11,1,0
00146.c.clean,1,gcc-12,gcc-11,1,0
00147.c.clean,0,gcc-12,gcc-11,1,0
